case_name,reward_map,requested_detour_budget,trials,waypoint_count,successful_trials,failure_trials,success_rate,reward_per_distance_mean_successful,reward_per_distance_std_successful,total_reward_mean_successful,total_reward_std_successful,total_distance_mean_all,total_distance_std_all,total_distance_mean_successful,total_distance_std_successful,visited_waypoints_mean_all,visited_waypoints_std_all,completion_rate_mean_all,completion_rate_std_all,runtime_seconds_mean,runtime_seconds_std
circle,1,20,1,5,1,0,1.000000,0.605539,0.000000,85.986521,0.000000,142.000000,0.000000,142.000000,0.000000,5.000000,0.000000,1.000000,0.000000,18.356911,0.000000
circle,2,20,1,5,1,0,1.000000,0.789102,0.000000,112.052529,0.000000,142.000000,0.000000,142.000000,0.000000,5.000000,0.000000,1.000000,0.000000,20.297372,0.000000
circle,3,20,1,5,1,0,1.000000,0.695587,0.000000,98.773290,0.000000,142.000000,0.000000,142.000000,0.000000,5.000000,0.000000,1.000000,0.000000,18.782244,0.000000
circle,4,20,1,5,1,0,1.000000,0.522882,0.000000,74.249265,0.000000,142.000000,0.000000,142.000000,0.000000,5.000000,0.000000,1.000000,0.000000,20.287446,0.000000
circle,5,20,1,5,1,0,1.000000,0.738012,0.000000,104.797750,0.000000,142.000000,0.000000,142.000000,0.000000,5.000000,0.000000,1.000000,0.000000,19.762297,0.000000
circle,6,20,1,5,1,0,1.000000,0.532891,0.000000,75.670553,0.000000,142.000000,0.000000,142.000000,0.000000,5.000000,0.000000,1.000000,0.000000,18.632612,0.000000
circle,7,20,1,5,1,0,1.000000,0.842735,0.000000,119.668414,0.000000,142.000000,0.000000,142.000000,0.000000,5.000000,0.000000,1.000000,0.000000,18.523886,0.000000
circle,8,20,1,5,1,0,1.000000,0.607020,0.000000,86.196870,0.000000,142.000000,0.000000,142.000000,0.000000,5.000000,0.000000,1.000000,0.000000,20.438732,0.000000
circle,9,20,1,5,1,0,1.000000,0.583996,0.000000,82.927401,0.000000,142.000000,0.000000,142.000000,0.000000,5.000000,0.000000,1.000000,0.000000,20.078472,0.000000
circle,10,20,1,5,1,0,1.000000,0.561070,0.000000,79.671889,0.000000,142.000000,0.000000,142.000000,0.000000,5.000000,0.000000,1.000000,0.000000,18.767435,0.000000
